R2,67.55,19.01,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,149.74,6.47,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,153.75,58.55,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,145.52,56.07,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,118.14,48.35,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,93.79,52.57,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,66.19,13.93,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,63.13,15.03,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,57.25,37.43,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,52.77,37.53,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,46.49,37.53,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,35.99,49.61,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,71.01,28.91,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.05,108.83,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,52.73,108.47,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,88.75,64.14,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.12,108.44,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,73.23,28.85,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.45,108.39,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,152.02,13.32,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,62.90,12.69,0.00,,SJ
TP1,89.47,80.91,0.00,TPTP20R,TP20R
TP10,157.40,64.81,0.00,TPTP20R,TP20R
TP11,89.61,85.21,0.00,TPTP20R,TP20R
TP12,157.55,61.61,0.00,TPTP20R,TP20R
TP13,18.30,2.31,0.00,TPTP20R,TP20R
TP14,22.85,2.42,0.00,TPTP20R,TP20R
TP15,14.00,2.41,0.00,TPTP20R,TP20R
TP16,89.55,94.11,0.00,TPTP20R,TP20R
TP17,89.51,89.41,0.00,TPTP20R,TP20R
TP2,89.49,77.51,0.00,TPTP20R,TP20R
TP3,2.69,34.79,0.00,TPTP20R,TP20R
TP4,2.81,30.49,0.00,TPTP20R,TP20R
TP5,2.83,25.49,0.00,TPTP20R,TP20R
TP6,2.85,21.19,0.00,TPTP20R,TP20R
TP7,85.67,107.29,0.00,TPTP20R,TP20R
TP8,80.19,107.29,0.00,TPTP20R,TP20R
TP9,75.31,107.49,0.00,TPTP20R,TP20R
U1,39.39,58.86,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.09,58.24,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.85,57.10,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,132.37,54.32,0.00,MAX17048G+T10,SON50P200X200X80-9N
